MOUSE_GENE_SYM	HUMAN_GENE_SYM
Nxt2	NXT2
Prdm5	PRDM5
Trim36	TRIM36
Adarb2	ADARB2
Dhtkd1	DHTKD1
Pip4p1	PIP4P1
Elmod1	ELMOD1
Rcc2	RCC2
Cep41	CEP41
Cdca7l	CDCA7L
Il20	IL20
Il17rb	IL17RB
Gbp2	GBP2
Rp9	RP9
Elp5	ELP5
Igfbpl1	IGFBPL1
Bet1l	BET1L
Rassf5	RASSF5
Zfp326	ZNF326
Cldn6	CLDN6
Syt6	SYT6
Syt8	SYT8
Syt10	SYT10
Ptf1a	PTF1A
Apom	APOM
Sh2b2	SH2B2
Asah2	ASAH2
Magix	MAGIX
Ajap1	AJAP1
Sulf2	SULF2
Ndufa12	NDUFA12
Rab5if	RAB5IF
Klhl7	KLHL7
Mkks	MKKS
Pdyn	PDYN
Srcin1	SRCIN1
Fut2	FUT2
Camkk1	CAMKK1
Pdzrn3	PDZRN3
Pcdhb13	PCDHB6
Cln8	CLN8
Nans	NANS
Errfi1	ERRFI1
Uts2r	UTS2R
Spaca9	SPACA9
Ripply3	RIPPLY3
Trem2	TREM2
Gpr173	GPR173
Gpr85	GPR85
Terf2ip	TERF2IP
Dnajc10	DNAJC10
Sh3tc1	SH3TC1
Gfod2	GFOD2
Sash3	SASH3
Kctd5	KCTD5
Mov10	MOV10
Ccser2	CCSER2
Retreg1	RETREG1
Etaa1	ETAA1
Mios	MIOS
Zfand6	ZFAND6
Armcx6	ARMCX6
Mief1	MIEF1
Tollip	TOLLIP
Plekha5	PLEKHA5
Pimreg	PIMREG
Krt24	KRT24
Tbc1d16	TBC1D16
Tmx3	TMX3
Prmt7	PRMT7
Tmco1	TMCO1
Dhx29	DHX29
Pcdh18	PCDH18
Ccdc93	CCDC93
Cchcr1	CCHCR1
Robo4	ROBO4
Ndufb11	NDUFB11
Ddit4	DDIT4
Mtmr12	MTMR12
Rnf186	RNF186
Sdk2	SDK2
Sgtb	SGTB
Spata6	SPATA6
Dll4	DLL4
Ccnj	CCNJ
Vsig10	VSIG10
Map10	MAP10
Plekha3	PLEKHA3
Gtpbp2	GTPBP2
Inka2	INKA2
Mydgf	MYDGF
Smg9	SMG9
Fgf21	FGF21
Ubfd1	UBFD1
Klhl4	KLHL4
Ina	INA
Cxcr2	CXCR2
Cd86	CD86
Tmem37	TMEM37
Ppt2	PPT2
Stk19	STK19
Il1f5	IL36RN
Crtam	CRTAM
Olfr71	OR13J1
Lgals12	LGALS12
Msgn1	MSGN1
Mtfr1l	MTFR1L
Hoxd8	HOXD8
Cited4	CITED4
Fscn3	FSCN3
Scamp4	SCAMP4
Etl4	KIAA1217
Gpcpd1	GPCPD1
Tas2r119	TAS2R1
Susd2	SUSD2
Btnl2	BTNL2
Sertad4	SERTAD4
Cpxm1	CPXM1
Irgc1	IRGC
Gkn1	GKN1
Pard3	PARD3
Abcb9	ABCB9
Sinhcaf	SINHCAF
Socs5	SOCS5
Stmn4	STMN4
Rassf1	RASSF1
Mettl3	METTL3
Asah1	ASAH1
Pdcd10	PDCD10
P3h1	P3H1
Anapc7	ANAPC7
Adrm1	ADRM1
Gkap1	GKAP1
Dipk1b	DIPK1B
Noa1	NOA1
Ltb4r2	LTB4R2
Trpv5	TRPV5
Eif4enif1	EIF4ENIF1
Rprm	RPRM
Slc10a3	SLC10A3
Fgf20	FGF20
Fkbpl	FKBPL
Chst7	CHST7
Diablo	DIABLO
Sec16a	SEC16A
Cldnd1	CLDND1
Lamtor3	LAMTOR3
Ccnl1	CCNL1
Mast1	MAST1
Mgst1	MGST1
C1qtnf1	C1QTNF1
Arl10	ARL10
Son	SON
Tex101	TEX101
Phax	PHAX
Med8	MED8
Glmp	GLMP
Gfra4	GFRA4
Prrc2a	PRRC2A
Ankrd2	ANKRD2
Igdcc4	IGDCC4
Ascl3	ASCL3
Barhl2	BARHL2
Rnase4	RNASE4
Plvap	PLVAP
Srek1	SREK1
Leprot	LEPROT
Olfr351	OR1N1
Fstl5	FSTL5
Zc3hav1	ZC3HAV1
Uggt1	UGGT1
Tm9sf3	TM9SF3
Slamf8	SLAMF8
Tcim	TCIM
Agpat3	AGPAT3
Wrnip1	WRNIP1
Tmem167b	TMEM167B
Sh3glb2	SH3GLB2
Ift46	IFT46
Emc7	EMC7
Gpr137	GPR137
C1galt1	C1GALT1
Otor	OTOR
Sema3g	SEMA3G
Mccc1	MCCC1
Ncln	NCLN
Sppl2b	SPPL2B
Fem1c	FEM1C
Pmepa1	PMEPA1
Arntl2	ARNTL2
Eny2	ENY2
Olfml3	OLFML3
Yae1d1	YAE1
9530068E07Rik	C5orf15
Nt5m	NT5M
Mepe	MEPE
Otud7b	OTUD7B
Slc6a20a	SLC6A20
Rgma	RGMA
Parp6	PARP6
Rnpep	RNPEP
Adprm	ADPRM
Dtwd1	DTWD1
Bbx	BBX
Tomm22	TOMM22
Ctnnbip1	CTNNBIP1
Scand1	SCAND1
Arhgap31	ARHGAP31
Gmeb1	GMEB1
Nsmf	NSMF
Ccl28	CCL28
Tspan32	TSPAN32
Insm2	INSM2
Cldn9	CLDN9
Ciapin1	CIAPIN1
Vps35l	VPS35L
Pappa2	PAPPA2
Ankmy2	ANKMY2
Dolpp1	DOLPP1
Ank	ANKH
Slc12a5	SLC12A5
Ralgapb	RALGAPB
Zmiz1	ZMIZ1
Slc24a2	SLC24A2
Nkiras1	NKIRAS1
Cnnm1	CNNM1
Pcnp	PCNP
Pithd1	PITHD1
Rpgrip1	RPGRIP1
Parp11	PARP11
Utp3	UTP3
Aven	AVEN
Slc22a17	SLC22A17
D6Wsu163e	C12orf4
Pnpla2	PNPLA2
Cysltr2	CYSLTR2
Nat14	NAT14
Gopc	GOPC
Lpar5	LPAR5
Pcdh9	PCDH9
Cd248	CD248
Plxdc1	PLXDC1
Ddx24	DDX24
Retn	RETN
Tmem159	TMEM159
Scyl3	SCYL3
Lyrm1	LYRM1
Smim8	SMIM8
Lyzl6	LYZL6
Slurp1	SLURP1
Slc44a2	SLC44A2
Smurf1	SMURF1
Phtf2	PHTF2
Jph2	JPH2
Gjc2	GJC2
Sall4	SALL4
Asphd2	ASPHD2
Nav1	NAV1
4833439L19Rik	KIAA1191
Fam219b	FAM219B
Nipal3	NIPAL3
Selenon	SELENON
Adgrg6	ADGRG6
Spryd7	SPRYD7
Thap11	THAP11
Lyrm2	LYRM2
Isl2	ISL2
Zfp276	ZNF276
Xpo4	XPO4
Retnlb	RETNLB
Pbxip1	PBXIP1
Osm	OSM
Rtn4	RTN4
Mcoln1	MCOLN1
Kat14	KAT14
Amhr2	AMHR2
Cmpk2	CMPK2
March7	MARCHF7
As3mt	AS3MT
Angptl4	ANGPTL4
Herpud2	HERPUD2
Tmem183a	TMEM183A
Zfp467	ZNF467
Zc3h8	ZC3H8
Jph1	JPH1
Jph3	JPH3
Nrip3	NRIP3
Akip1	AKIP1
Fam3b	FAM3B
Cltrn	CLTRN
Plekhg5	PLEKHG5
Fgf22	FGF22
Fgf23	FGF23
Ripk4	RIPK4
Dcun1d1	DCUN1D1
Twsg1	TWSG1
Rcn3	RCN3
Senp7	SENP7
Ttyh1	TTYH1
S100a14	S100A14
Rab22a	RAB22A
1110059G10Rik	KIAA1143
Tmcc3	TMCC3
Lrrc47	LRRC47
Zbtb21	ZBTB21
Ints2	INTS2
Cog6	COG6
Ubr4	UBR4
Hace1	HACE1
Nufip2	NUFIP2
Tbc1d14	TBC1D14
Mib1	MIB1
Alpk3	ALPK3
Wdr35	WDR35
Igsf9	IGSF9
Lrrc7	LRRC7
Klhl8	KLHL8
Gphn	GPHN
Prex1	PREX1
Arhgap21	ARHGAP21
Syt13	SYT13
Wdfy1	WDFY1
Zfp687	ZNF687
Homez	HOMEZ
Begain	BEGAIN
Wdr48	WDR48
Islr2	ISLR2
Relch	RELCH
Tshz3	TSHZ3
Zbtb2	ZBTB2
Usp28	USP28
Phf12	PHF12
Cip2a	CIP2A
Gramd1a	GRAMD1A
Calcoco1	CALCOCO1
Zbtb4	ZBTB4
Plekha4	PLEKHA4
Zbtb26	ZBTB26
Cachd1	CACHD1
Vat1l	VAT1L
Magee1	MAGEE1
Usp37	USP37
Gba2	GBA2
Mettl14	METTL14
Bcl7a	BCL7A
Fgf6	FGF6
Lzts1	LZTS1
Fgf12	FGF12
Rap2a	RAP2A
Znfx1	ZNFX1
Art4	ART4
Ndufv2	NDUFV2
Ndufv3	NDUFV3
Zfp128	ZNF8
Sez6l	SEZ6L
Cotl1	COTL1
Crot	CROT
Tmx4	TMX4
Trib3	TRIB3
Abhd16a	ABHD16A
Brinp2	BRINP2
Rab40c	RAB40C
Pold4	POLD4
Ccar2	CCAR2
Ccdc181	CCDC181
Zfp410	ZNF410
Cadm3	CADM3
Wfdc1	WFDC1
Sqor	SQOR
Ms4a7	MS4A7
Nlrc4	NLRC4
Crebzf	CREBZF
Inip	INIP
Jam2	JAM2
Ovol2	OVOL2
Ostc	OSTC
Ntn4	NTN4
Dmrt3	DMRT3
Mid1ip1	MID1IP1
Ly6g6f	LY6G6F
Trim39	TRIM39
Cfap298	CFAP298
Ngb	NGB
Il22ra1	IL22RA1
Tmem8	TMEM8A
Zfyve1	ZFYVE1
Sez6	SEZ6
Evc	EVC
Jmy	JMY
Cd200r1	CD200R1
Kcne4	KCNE4
Gsdma	GSDMA
Caln1	CALN1
Sorcs1	SORCS1
Prokr1	PROKR1
Rsad2	RSAD2
Vstm2b	VSTM2B
Sh3kbp1	SH3KBP1
Zbp1	ZBP1
Pdcd1lg2	PDCD1LG2
Bcl11b	BCL11B
Ube2j2	UBE2J2
Nkain4	NKAIN4
Hs1bp3	HS1BP3
Trim54	TRIM54
Cdc42ep5	CDC42EP5
Rnf32	RNF32
Sh3rf1	SH3RF1
Carm1	CARM1
Cryba2	CRYBA2
Necab3	NECAB3
C1galt1c1	C1GALT1C1
Bhlhe22	BHLHE22
Dctn5	DCTN5
Prdm12	PRDM12
Prdm13	PRDM13
Plekha1	PLEKHA1
Hrh4	HRH4
Trpv4	TRPV4
Senp2	SENP2
Pdlim2	PDLIM2
Rxfp1	RXFP1
Tmem35a	TMEM35A
Afap1	AFAP1
Hnrnph3	HNRNPH3
Mfap3l	MFAP3L
Ticam2	TICAM2
Phlpp1	PHLPP1
Nxph4	NXPH4
Slc18a3	SLC18A3
Nrip2	NRIP2
Fads3	FADS3
Otx2	OTX2
Avpi1	AVPI1
Cep78	CEP78
S1pr5	S1PR5
Il21	IL21
Eda2r	EDA2R
Rai2	RAI2
Cenpk	CENPK
Adam30	ADAM30
Plac1	PLAC1
Il21r	IL21R
Fam3a	FAM3A
Hapln2	HAPLN2
Lman1l	LMAN1L
Mrps35	MRPS35
Ppcdc	PPCDC
Twnk	TWNK
Agbl5	AGBL5
Kcnt1	KCNT1
Fgf16	FGF16
Qk	QKI
Qtrt1	QTRT1
Syt9	SYT9
Fignl1	FIGNL1
Npvf	NPVF
Trp53inp1	TP53INP1
Fance	FANCE
Fgfrl1	FGFRL1
Rint1	RINT1
Atg101	ATG101
Eefsec	EEFSEC
Trappc11	TRAPPC11
Zfand3	ZFAND3
4931414P19Rik	C14orf93
Abr	ABR
Optn	OPTN
Zfp277	ZNF277
Fxyd6	FXYD6
Fxyd7	FXYD7
Flii	FLII
Fn3krp	FN3KRP
Taf8	TAF8
Cables1	CABLES1
Perp	PERP
Gprc5c	GPRC5C
Sdf2l1	SDF2L1
Mtbp	MTBP
Def6	DEF6
Gpr88	GPR88
Kcnk12	KCNK12
Rnf123	RNF123
Ube2o	UBE2O
Heatr6	HEATR6
Sh2d4a	SH2D4A
Gpatch3	GPATCH3
Hps4	HPS4
Txndc5	TXNDC5
Galnt11	GALNT11
Cidec	CIDEC
Zfp335	ZNF335
Ankef1	ANKEF1
Chp2	CHP2
C330007P06Rik	CXorf56
Pcif1	PCIF1
Gpsm3	GPSM3
Slc44a1	SLC44A1
Clspn	CLSPN
Prdm16	PRDM16
Tspyl2	TSPYL2
Cdh23	CDH23
Mccc2	MCCC2
Popdc2	POPDC2
Samsn1	SAMSN1
Smoc2	SMOC2
Parvg	PARVG
Tnmd	TNMD
Moap1	MOAP1
Slc39a8	SLC39A8
Nod2	NOD2
Tcta	TCTA
Il1rn	IL1RN
Asic4	ASIC4
A1bg	A1BG
Casp7	CASP7
Snx16	SNX16
Adgrl4	ADGRL4
Pi4ka	PI4KA
Necab1	NECAB1
Cbfb	CBFB
1810055G02Rik	C11orf24
5730455P16Rik	C17orf75
Kcnk15	KCNK15
Fxyd4	FXYD4
Ess2	ESS2
Zfp296	ZNF296
Itm2c	ITM2C
Tmub1	TMUB1
Abhd8	ABHD8
Sp5	SP5
Rnf25	RNF25
Arap3	ARAP3
Gzf1	GZF1
Tmem168	TMEM168
Mtmr14	MTMR14
Susd1	SUSD1
Mrps25	MRPS25
Ndst4	NDST4
Tlnrd1	TLNRD1
Nyx	NYX
Gpr135	GPR135
Adcy5	ADCY5
Pim1	PIM1
Mpeg1	MPEG1
Galp	GALP
Tns1	TNS1
Pidd1	PIDD1
Rem2	REM2
Dgcr8	DGCR8
Scube1	SCUBE1
Mettl17	METTL17
Acbd3	ACBD3
Mfsd1	MFSD1
Plppr2	PLPPR2
BC017158	C16orf58
Parp12	PARP12
Garem1	GAREM1
Zfp574	ZNF574
Meaf6	MEAF6
Pced1a	PCED1A
1110032A03Rik	C11orf1
Fndc3b	FNDC3B
Mthfsd	MTHFSD
Mical1	MICAL1
Cerk	CERK
Crtc3	CRTC3
Tbc1d15	TBC1D15
Lmf2	LMF2
Ift22	IFT22
Cep85	CEP85
Mphosph9	MPHOSPH9
Iqch	IQCH
Efcab6	EFCAB6
P2ry12	P2RY12
Spata20	SPATA20
Ythdc2	YTHDC2
Slc13a3	SLC13A3
Aida	AIDA
Fam129b	NIBAN2
Vwa1	VWA1
Rfx7	RFX7
Cdcp1	CDCP1
Pcdh20	PCDH20
Unc13a	UNC13A
Ireb2	IREB2
Rgs18	RGS18
Izumo1r	IZUMO1R
Bcl11a	BCL11A
2210016L21Rik	C12orf43
Actr8	ACTR8
Casd1	CASD1
Ttc23	TTC23
Nt5dc2	NT5DC2
Gpbp1	GPBP1
Mrpl44	MRPL44
Vps33a	VPS33A
Tmem135	TMEM135
Lat2	LAT2
Rtn4r	RTN4R
Irak1bp1	IRAK1BP1
Zic5	ZIC5
Arl6ip6	ARL6IP6
Arid4a	ARID4A
Hapln4	HAPLN4
Tm6sf1	TM6SF1
Jmjd4	JMJD4
Upf3b	UPF3B
Ints3	INTS3
Dnaic2	DNAI2
Ankra2	ANKRA2
Spats2	SPATS2
Cplane1	CPLANE1
Coa7	COA7
Ube2z	UBE2Z
1110038F14Rik	C8orf33
Kcnk10	KCNK10
Aacs	AACS
Gngt2	GNGT2
Pla2g12a	PLA2G12A
Dctpp1	DCTPP1
Atp5md	ATP5MD
Slc30a7	SLC30A7
Rnf128	RNF128
Jam3	JAM3
Pus3	PUS3
Zkscan14	ZNF394
Coq8a	COQ8A
Stard5	STARD5
Mesd	MESD
Akirin1	AKIRIN1
Pwwp3a	PWWP3A
Ly6g6c	LY6G6C
Sync	SYNC
Ms4a10	MS4A10
Pla2g12b	PLA2G12B
Slc44a4	SLC44A4
Wdr31	WDR31
Rgl3	RGL3
Riox1	RIOX1
Poglut2	POGLUT2
Nipa2	NIPA2
Rd3	RD3
Asz1	ASZ1
Abcb6	ABCB6
Zdhhc16	ZDHHC16
Mphosph8	MPHOSPH8
Wdr54	WDR54
Tbx18	TBX18
Cep70	CEP70
Plekhj1	PLEKHJ1
Tsc22d4	TSC22D4
Caprin2	CAPRIN2
Zbtb10	ZBTB10
Kctd14	KCTD14
Dlk2	DLK2
Fam173a	ANTKMT
Ddrgk1	DDRGK1
Mrpl34	MRPL34
Ms4a5	MS4A5
Mospd3	MOSPD3
Synpr	SYNPR
Wdr7	WDR7
Arhgef11	ARHGEF11
Kiss1r	KISS1R
Secisbp2	SECISBP2
Vkorc1	VKORC1
Mtrr	MTRR
Dusp26	DUSP26
Mrpl57	MRPL57
Colec11	COLEC11
Prr14	PRR14
Gdap1l1	GDAP1L1
Trir	TRIR
Mis12	MIS12
Cuedc2	CUEDC2
Scnm1	SCNM1
Metrn	METRN
Dbndd1	DBNDD1
Nudt9	NUDT9
Dda1	DDA1
Ggct	GGCT
Cenpm	CENPM
AW209491	C7orf25
Tmem106c	TMEM106C
Nup37	NUP37
Fndc11	FNDC11
E130309D02Rik	C7orf26
Nabp2	NABP2
Kxd1	KXD1
Zfyve21	ZFYVE21
Tmem38a	TMEM38A
Kctd15	KCTD15
Prrg4	PRRG4
Prrg3	PRRG3
Asb9	ASB9
Elovl6	ELOVL6
Fastkd3	FASTKD3
Tmem109	TMEM109
AI597479	C2orf49
AU022252	C1orf50
Mlph	MLPH
Wdr77	WDR77
Slc25a23	SLC25A23
Card14	CARD14
Chac1	CHAC1
1110051M20Rik	C11orf49
Taf1d	TAF1D
Mapkap1	MAPKAP1
Ndufaf5	NDUFAF5
Apoo	APOO
Mrpl38	MRPL38
Mindy3	MINDY3
Arl2bp	ARL2BP
Mfn1	MFN1
Ccdc127	CCDC127
Derl1	DERL1
Echdc3	ECHDC3
Cmtm3	CMTM3
Smtnl1	SMTNL1
Fbln7	FBLN7
Fam13c	FAM13C
Kif23	KIF23
Tmem79	TMEM79
Katnbl1	KATNBL1
Hdhd3	HDHD3
Vps50	VPS50
Mxra8	MXRA8
Stard3nl	STARD3NL
Ecrg4	ECRG4
Ky	KY
Retreg2	RETREG2
Ccdc28b	CCDC28B
Mboat7	MBOAT7
Ppdpf	PPDPF
Fkrp	FKRP
Tnip2	TNIP2
Plekhf1	PLEKHF1
Mfsd11	MFSD11
Leng1	LENG1
Prr15l	PRR15L
4930432K21Rik	C19orf57
Creld2	CRELD2
Slc27a3	SLC27A3
Brcc3	BRCC3
Fsd1	FSD1
Tmem43	TMEM43
Thoc6	THOC6
Ndufs7	NDUFS7
Wt1	WT1
Ubxn6	UBXN6
Sost	SOST
Sun1	SUN1
Luzp1	LUZP1
Svbp	SVBP
Zfp319	ZNF319
Cptp	CPTP
BC005537	C6orf62
Mettl27	METTL27
Irf2bpl	IRF2BPL
Prdm14	PRDM14
Lrfn3	LRFN3
Fyco1	FYCO1
Pagr1a	PAGR1
Ripor1	RIPOR1
Maip1	MAIP1
Nkain1	NKAIN1
Gcc1	GCC1
Ttc13	TTC13
Cdc73	CDC73
Spag16	SPAG16
Chpf	CHPF
Cars2	CARS2
Mul1	MUL1
Sap130	SAP130
Rnf219	OBI1
Cep97	CEP97
Cers4	CERS4
Pgbd5	PGBD5
Fam118b	FAM118B
Acss3	ACSS3
Hmbox1	HMBOX1
Chd1l	CHD1L
Snrnp25	SNRNP25
Ndnf	NDNF
Ogfrl1	OGFRL1
Sh3tc2	SH3TC2
Ocel1	OCEL1
Efl1	EFL1
Fam184a	FAM184A
Scrn3	SCRN3
Armc7	ARMC7
Rogdi	ROGDI
Chmp6	CHMP6
Efcab1	EFCAB1
Usb1	USB1
Rhbdf2	RHBDF2
Rpap3	RPAP3
Ppp1r3b	PPP1R3B
Neil1	NEIL1
Hspbap1	HSPBAP1
Ice2	ICE2
Plekhf2	PLEKHF2
Parp8	PARP8
BC016579	C3orf52
Nlrx1	NLRX1
Veph1	VEPH1
Vtcn1	VTCN1
Slc12a8	SLC12A8
Cenpu	CENPU
Sap30l	SAP30L
Gal3st4	GAL3ST4
Yrdc	YRDC
Manea	MANEA
Galnt12	GALNT12
Nup43	NUP43
Ogfod3	OGFOD3
Bbs1	BBS1
Morc4	MORC4
Ccdc51	CCDC51
Npepl1	NPEPL1
Aagab	AAGAB
Vps37b	VPS37B
Zfp768	ZNF768
Palb2	PALB2
Nsun7	NSUN7
E2f8	E2F8
Tbc1d17	TBC1D17
Tefm	TEFM
Aamdc	AAMDC
Zbbx	ZBBX
Clip4	CLIP4
Asb13	ASB13
Zfp668	ZNF668
Gemin7	GEMIN7
C130074G19Rik	C1orf115
Gimap6	GIMAP6
Rabl6	RABL6
Ccdc82	CCDC82
Sugct	SUGCT
Clmn	CLMN
Fbxo31	FBXO31
Zfp408	ZNF408
Carf	CARF
Hhipl2	HHIPL2
Hps6	HPS6
Gstcd	GSTCD
Ptcd2	PTCD2
Sltm	SLTM
Mmrn2	MMRN2
Ehmt1	EHMT1
Tle6	TLE6
Wdr78	WDR78
Camkmt	CAMKMT
Clmp	CLMP
Mettl8	METTL8
Qser1	QSER1
Lonrf3	LONRF3
Tmc5	TMC5
Nhej1	NHEJ1
Agbl2	AGBL2
Rnf122	RNF122
Cfap69	CFAP69
Pdzd3	PDZD3
Fam57a	TLCD3A
Tm4sf20	TM4SF20
Snx22	SNX22
Rbfa	RBFA
Jhy	JHY
Bora	BORA
Tctn2	TCTN2
Cpsf7	CPSF7
Baalc	BAALC
Rpap2	RPAP2
Cbll1	CBLL1
Uba5	UBA5
Dennd1b	DENND1B
Hdac11	HDAC11
Plbd1	PLBD1
Rin3	RIN3
Mcmbp	MCMBP
Ggnbp2	GGNBP2
Prr5l	PRR5L
Nup85	NUP85
Morn1	MORN1
Pyroxd1	PYROXD1
Mab21l4	MAB21L4
Map6d1	MAP6D1
AU040320	KIAA0319L
L2hgdh	L2HGDH
Plppr3	PLPPR3
Plekhs1	PLEKHS1
Syndig1	SYNDIG1
Dennd1c	DENND1C
Cep76	CEP76
Dennd2d	DENND2D
Dnajc22	DNAJC22
Wls	WLS
Trmt2b	TRMT2B
Pof1b	POF1B
Ttc26	TTC26
Plekhh3	PLEKHH3
Stn1	STN1
Trappc13	TRAPPC13
2310057M21Rik	C10orf88
Chodl	CHODL
Fam192a	FAM192A
Dglucy	DGLUCY
Ubtd1	UBTD1
Foxred2	FOXRED2
Tmem62	TMEM62
Nrsn2	NRSN2
Csrnp3	CSRNP3
Mcf2l	MCF2L
Lrrtm4	LRRTM4
Adamts20	ADAMTS20
Baiap2l2	BAIAP2L2
Arl14	ARL14
Vcpip1	VCPIP1
Trim46	TRIM46
Lrrc8e	LRRC8E
Ptges2	PTGES2
Thoc7	THOC7
Toe1	TOE1
Zc3h12a	ZC3H12A
Asrgl1	ASRGL1
Edc3	EDC3
Usp36	USP36
Ctc1	CTC1
Ift74	IFT74
Spsb1	SPSB1
Myct1	MYCT1
Tti2	TTI2
Tmem134	TMEM134
Rnf34	RNF34
Fuz	FUZ
Wdr19	WDR19
Fbxo11	FBXO11
Chd9	CHD9
Armc9	ARMC9
Ccdc92	CCDC92
Alpk1	ALPK1
Naa50	NAA50
Tars	TARS1
Rab11fip1	RAB11FIP1
Nubpl	NUBPL
5430427O19Rik	CXorf21
Wdr26	WDR26
Ell3	ELL3
Cep63	CEP63
Efhc2	EFHC2
D230025D16Rik	C16orf70
Trim45	TRIM45
Edem3	EDEM3
Itpkc	ITPKC
Mterf2	MTERF2
Plekho2	PLEKHO2
Med28	MED28
Pdgfd	PDGFD
Cxxc4	CXXC4
Sptbn4	SPTBN4
Ccdc68	CCDC68
Adam33	ADAM33
Pnpla3	PNPLA3
Bpifb2	BPIFB2
Traf3ip3	TRAF3IP3
Dcaf11	DCAF11
Reep4	REEP4
Coasy	COASY
Tnks2	TNKS2
Rnf39	RNF39
Cd276	CD276
Slc35g2	SLC35G2
Vwa7	VWA7
Ly6g5c	LY6G5C
Prr3	PRR3
Thumpd2	THUMPD2
Tmem121	TMEM121
Rsph1	RSPH1
Sra1	SRA1
Natd1	NATD1
Mrpl54	MRPL54
Emc6	EMC6
Zfp524	ZNF524
Aurkaip1	AURKAIP1
Tmem42	TMEM42
Sharpin	SHARPIN
Fopnl	FOPNL
Chchd6	CHCHD6
Chchd1	CHCHD1
Mrps36	MRPS36
Mymk	MYMK
Ska2	SKA2
Fbxo36	FBXO36
Chchd5	CHCHD5
Nudt14	NUDT14
Them5	THEM5
Acyp1	ACYP1
1110059E24Rik	C9orf85
Zdhhc12	ZDHHC12
Nicn1	NICN1
Tmem54	TMEM54
Tmed6	TMED6
Tmem126a	TMEM126A
Tmem218	TMEM218
Gkn2	GKN2
Tmem128	TMEM128
Scp2d1	SCP2D1
Susd3	SUSD3
1700020L24Rik	C17orf50
Psenen	PSENEN
Riiad1	RIIAD1
Cox20	COX20
Anapc16	ANAPC16
2310011J03Rik	C19orf25
Alkbh7	ALKBH7
2410004B18Rik	C1orf52
Mien1	MIEN1
2610528J11Rik	C1orf210
Ptpmt1	PTPMT1
Rex1bd	REX1BD
Ska1	SKA1
Prxl2b	PRXL2B
Acot11	ACOT11
Cmss1	CMSS1
Psmg3	PSMG3
2810004N23Rik	C1orf131
Tceanc2	TCEANC2
Rep15	REP15
Metap1d	METAP1D
Ntpcr	NTPCR
Mad2l1bp	MAD2L1BP
Rdm1	RDM1
Lrrc57	LRRC57
Ribc1	RIBC1
Ubr7	UBR7
Tmem222	TMEM222
Mcm8	MCM8
Tsen15	TSEN15
Ctnnbl1	CTNNBL1
Lix1	LIX1
Rpe	RPE
Tex12	TEX12
Tceal8	TCEAL8
Dcbld1	DCBLD1
Odf2l	ODF2L
4921524J17Rik	C16orf87
Klhl10	KLHL10
Plaat5	PLAAT5
Map1lc3a	MAP1LC3A
Trpd52l3	TPD52L3
Cfap97	CFAP97
Zfp474	ZNF474
Pacrgl	PACRGL
Asb17	ASB17
Hacd4	HACD4
Atg10	ATG10
Dtnbp1	DTNBP1
Thap2	THAP2
Tmem170	TMEM170A
Nacc1	NACC1
Ncaph2	NCAPH2
Hint3	HINT3
Clec14a	CLEC14A
Nhlrc2	NHLRC2
Cpne8	CPNE8
Lonp2	LONP2
Pxdc1	PXDC1
Tmem107	TMEM107
Nudt16l1	NUDT16L1
Dmac1	DMAC1
Fank1	FANK1
Sh3d21	SH3D21
2310030G06Rik	C11orf52
Kctd20	KCTD20
Cep19	CEP19
Mettl6	METTL6
Oma1	OMA1
Riox2	RIOX2
Tmem88	TMEM88
Ccdc43	CCDC43
Thap4	THAP4
Syap1	SYAP1
Tmem246	PGAP4
Mmachc	MMACHC
Zbtb8os	ZBTB8OS
Ccdc159	CCDC159
Ttc14	TTC14
Mastl	MASTL
Ramac	RAMAC
Mtdh	MTDH
Zmynd19	ZMYND19
Nudcd2	NUDCD2
Zcrb1	ZCRB1
Ccdc77	CCDC77
Armc10	ARMC10
Mrpl55	MRPL55
L3hypdh	L3HYPDH
Srfbp1	SRFBP1
Med29	MED29
Cinp	CINP
Dipk1a	DIPK1A
Uqcc2	UQCC2
Mrpl42	MRPL42
3110040N11Rik	C15orf40
Nanp	NANP
Rffl	RFFL
Tctex1d1	TCTEX1D1
Zkscan6	ZNF18
Gtf3c6	GTF3C6
Bbs2	BBS2
C1qtnf12	C1QTNF12
Armcx2	ARMCX2
Ppil4	PPIL4
Armh4	ARMH4
Nudcd1	NUDCD1
4921536K21Rik	C5orf52
Hoga1	HOGA1
C1qtnf4	C1QTNF4
Pnpla8	PNPLA8
Ikbip	IKBIP
Poc5	POC5
Abhd15	ABHD15
Eepd1	EEPD1
Rnf151	RNF151
1700019N19Rik	C10orf82
Ccdc39	CCDC39
Patl2	PATL2
Ubxn11	UBXN11
4930524B15Rik	C5orf47
Akt1s1	AKT1S1
Fibin	FIBIN
Rspry1	RSPRY1
Spc24	SPC24
Armc12	ARMC12
Spaca1	SPACA1
Rabl3	RABL3
Dnaaf4	DNAAF4
Prss37	PRSS37
Fam174a	FAM174A
Tmem179b	TMEM179B
Fbxo32	FBXO32
Ccdc130	CCDC130
Slc48a1	SLC48A1
Borcs5	BORCS5
Sfr1	SFR1
Snrnp48	SNRNP48
Tprgl	TPRG1L
Wdr83	WDR83
Slc35a4	SLC35A4
Ddx55	DDX55
Knstrn	KNSTRN
Slco6b1	SLCO6A1
Cysrt1	CYSRT1
